function,qubits,target,path,median_ns,mean_ns,min_ns,p5_ns,p95_ns,stddev_ns,max_ns,data_bytes,touch_bytes,bw_gbs,elem_per_ns,samples
h_tiled,8,1,within-tile,14000.0,14263.4,14000.0,14000.0,15000.0,700.1,24000.0,589824,1179648,84.261,2.633,5000
h_packed,8,1,packed,30000.0,30148.2,15000.0,21000.0,40000.0,5712.3,68000.0,526336,1052672,35.089,1.097,5000
h_tiled,8,2,within-tile,14000.0,14059.8,13000.0,13000.0,15000.0,941.9,24000.0,589824,1179648,84.261,2.633,5000
h_packed,8,2,packed,30000.0,29894.0,14000.0,20000.0,39000.0,5934.6,77000.0,526336,1052672,35.089,1.097,5000
h_tiled,8,3,within-tile,13000.0,13620.8,12000.0,13000.0,15000.0,916.7,24000.0,589824,1179648,90.742,2.836,5000
h_packed,8,3,packed,31000.0,31096.2,16000.0,21000.0,43000.0,6352.7,96000.0,526336,1052672,33.957,1.061,5000
h_tiled,8,4,within-tile,15000.0,14650.8,14000.0,14000.0,15000.0,664.9,25000.0,589824,1179648,78.643,2.458,5000
h_packed,8,4,packed,31000.0,30720.8,16000.0,23000.0,39000.0,5268.8,68000.0,526336,1052672,33.957,1.061,5000
h_tiled,8,5,cross-tile,15000.0,14595.2,13000.0,13000.0,16000.0,849.9,27000.0,589824,1179648,78.643,2.458,5000
h_packed,8,5,packed,31000.0,30790.2,16000.0,23000.0,39000.0,5114.5,73000.0,526336,1052672,33.957,1.061,5000
h_tiled,8,6,cross-tile,14000.0,14024.2,13000.0,14000.0,14000.0,463.1,20000.0,589824,1179648,84.261,2.633,5000
h_packed,8,6,packed,31000.0,31567.4,14000.0,21000.0,44000.0,6832.7,91000.0,526336,1052672,33.957,1.061,5000
h_tiled,8,7,cross-tile,12000.0,12327.2,11000.0,12000.0,13000.0,585.3,19000.0,589824,1179648,98.304,3.072,5000
